path,bytes,sha256
.github/workflows/ci.yml,527,0728678207bb395a54a44563b84f82d18c96d053edcbe256fd82fe3fdd88450f
.gitignore,36,86fcc2e0bbb0e0e9f530e72628a6d885a5fc5774de0028cb437930d94ce74946
ARTIFACT_MANIFEST.md,1073,57f849789a77f28d9ab84518591c9951fc5389cf05342b5652367fb4403ce599
Cargo.toml,728,5a46be75aef860e0fe8a8bc6e5f6754279ad5be9f9029e6ed63b3bec75246d64
LICENSE,188,43dcbee8e82338ad564c76cdca10d4cbea7db75a9f9cd18c21a654e2b3ffd510
LICENSE-APACHE,11324,50e6751797c50dedd75ef1b8a0d9e42f5f8472e9fbce91f34718e9f97b0c780a
LICENSE-MIT,1079,aa111e2f12031a6b09bcd76d7ba2d884e488fe0dfba232d5018184b6ac1f7e64
NOTICE,374,3cbd4b5b1fb0fb13d84420f72e755dd890b4f5391dfc57b0c6318ca3cd0dd316
README.md,4509,7d03d5233ec46e7e54a6b026b1a7bd4c4177f1fe2a865c73cc62af85b407c6a1
archive/prompts/Pasted markdown.md,30581,359569671ccfff94f21ab1c46d3abb751781679fd1253e0433cda8289645ff8c
crates/aero-codex-aerodynamics/Cargo.toml,328,278105c978589798caaa1a7babf32111d2c9a863065173c270bc72b058d7ed69
crates/aero-codex-aerodynamics/src/lib.rs,13901,dee50db83a24a308a3fb6b0f50390ebe9985e732b45d0429a0d93befe7ff44ff
crates/aero-codex-astrodynamics/Cargo.toml,390,38f36a7112039320b2332b7df5bdd5fbbd9967afd0a233b2f6fd22ddbab99191
crates/aero-codex-astrodynamics/src/lib.rs,32605,e1b281472f98105d7f1ff2577590885848da3b8b0acbca6bb996b155388efca1
crates/aero-codex-atmosphere/Cargo.toml,384,f56aa38bc0e50b66d9c01f0631b7700c043e1658cf1c20aae56890cf54ecce31
crates/aero-codex-atmosphere/src/lib.rs,11898,8df8bfc474dc9b28335e68ee0028563312471774c3fae7e8403daa214b07a6b1
crates/aero-codex-constants/Cargo.toml,273,c57f816baff114b0f8f6bde0bc6d08aed0d387e2ea973e86188d0cd56c2d44b9
crates/aero-codex-constants/src/lib.rs,11711,87fb8651f41f7206d6971b10783bf8d6c74a98384e9a7c9ccda375aff8860c3e
crates/aero-codex-core/Cargo.toml,263,8f5579d3457fd6e8303e57de8fef739316915ea6a7e88035bbe1353faad3c19b
crates/aero-codex-core/src/error.rs,4389,32b53fe09f4a286be5eb518312083b898e80f6fb3eccfe99b9d230fd8d214326
crates/aero-codex-core/src/lib.rs,5655,48dac5594d8eea868df1f762de907ddb9f6527c7998a958c833a07428be8e390
crates/aero-codex-core/src/result.rs,8328,17207d255efaf6499bdf35dddefec3d214af3bbe5d32afa7a8fa71dfa5808b7b
crates/aero-codex-core/src/units.rs,8762,9fe4fff26dea0701131d3909865cf4b6122fb8d99edd9e84e6e804a42174c14c
crates/aero-codex-core/src/validation.rs,1944,61182d3ecb4285bc04a2a5f03d3d31d3c7d84566c743b96abb700a3ec94b21b8
crates/aero-codex-flight-dynamics/Cargo.toml,334,075b60e1288900f37354c3dda4a2ec52b52cc6359be53d851b55486be9b1dc5f
crates/aero-codex-flight-dynamics/src/lib.rs,19136,d33aeec0da88990370ef5e7f03f25f0c014ea1b35c6e2e867e0967791978885e
crates/aero-codex-gas-dynamics/Cargo.toml,388,16e4604c19aba7ded01dda4d8f38e82183abf9d649a8b883d61576f908496cc8
crates/aero-codex-gas-dynamics/src/lib.rs,52851,892a9abd7737053da6bc0d2d9da77e9236d1853a2cd8ed3749ac689d11275f9a
crates/aero-codex-heat-transfer/Cargo.toml,390,8faafa0b3c48cb1656f557d274aac3b6c4203adb752537f2c08464a236d3bfe8
crates/aero-codex-heat-transfer/src/lib.rs,15421,c75eb3b5c9e1288cdd8a4c6186029bc14426dfee91f61059ff3b785be02b2663
crates/aero-codex-life-support/Cargo.toml,328,d555ca7a2d782ae0e0925094b135dbe487e8e19695d68b7859521b7ce838451e
crates/aero-codex-life-support/src/lib.rs,21288,4a538d892231e1670d0424bbc18ce5b9525e955eccf314d444513208d65663b2
crates/aero-codex-propulsion/Cargo.toml,324,cdcdc065655e749fbd9d9ab4e795e9085b9f86d60b65cfae09ed98dbd1f9740c
crates/aero-codex-propulsion/src/lib.rs,18428,32503fd098851eb7c29b0bc67e17f0f30fc2055ef8710552786f2d34622b60bc
crates/aero-codex-structures/Cargo.toml,324,c28b30173c53ae9d7b26c1a5120d70d38f5e79b6e28e679caf7ff3d19e490f6b
crates/aero-codex-structures/src/lib.rs,16367,e300e50d6b14a8ea04e41adc54a0d89c7e7d10a105864f626e5dc96f230ba8d7
crates/aero-codex-thermo/Cargo.toml,376,a067cc5869df4befb62c5bcb283245760d4fa57253841f0d265d19078ed837a0
crates/aero-codex-thermo/src/lib.rs,13175,f9935efbafdf65d5ca06cb4fc0cb68ef417254579d2929c9f1ba9f6280c7e868
docs/deployment/deploy_agent_prompt_v0_001_microtasks_001_020.md,4129,22272c65bddaf68e5edecc350637edc78c6906b9e402ca5f56d5b55d7b58a398
docs/index.md,3611,d0d843002706c7dfd5b17b38f58371d3bcd475f891d57ba22fc8e072876c0dd4
docs/phase_0_001/api_summary.md,7559,af67921792105bd2c7b5fe8a8190300a0448b912adafdcc69825b0880bfe8906
docs/phase_0_001/final_microtasks_001_020_report.md,12103,f925907248a00b9dfdacce0089dbb0fcd8f7191e73c56ca4d356f900c6551578
docs/phase_0_001/microtask_002_versioning_review.md,1312,bccd96f0d354f543c4ad03b05088bd87723263682c95f55fcd03baf5d8649c94
docs/phase_0_001/microtask_003_core_result_error_verification.md,4577,7c4707509ff9bb49dc65fecb809385cfb7f31cb9d59976e2e17155986de7d9fa
docs/phase_0_001/microtask_004_unit_scalars.md,3495,52a4ce20c740e51d1ead73e10cfd270ba1b40b629e55766325f333cc1a600850
docs/phase_0_001/microtask_005_constants_source_registry.md,3594,44530c0d220db3ab9478d9ec5b4f2defa42e7f6bab09a89f5e3f7ac8c851ff43
docs/phase_0_001/microtask_006_codex_card_schema_validation.md,4259,9482212c1d41e1b9970208a81afc17a132093a8204935eb3c002a7a0d1873a50
docs/phase_0_001/microtask_007_atmosphere_equations.md,3974,a2a6b3532725b2075d22b7b7cc331f9c5ba6abd07d53d0974b0022f077a85f37
docs/phase_0_001/microtask_008_thermodynamics_perfect_gas.md,3929,a6db0b65261ce75e539acd24c246375adc6e8a6377d4c52dacdf0eea16bf2c66
docs/phase_0_001/microtask_009_gas_dynamics_isentropic.md,3193,744fe992846ab7ab734744ff8aeb10e380875d9fdadb508ada9fe0cc95b837da
docs/phase_0_001/microtask_010_gas_dynamics_normal_shock.md,3203,c34c7c4926f32ea787b5a4b66d947545e683d2b5d50d0d3306555760fef12e4d
docs/phase_0_001/microtask_011_gas_dynamics_mach_angle_prandtl_meyer.md,3097,8cbec7752fd724952ad1313bbb8aed149e8eaca078f715d95d5dfa016a5dbbb4
docs/phase_0_001/microtask_012_gas_dynamics_oblique_shock.md,2291,153f6475310d137d9cfb9226d105196a252d213559af4e7bd5ac4bf4240293d2
docs/phase_0_001/microtask_013_aerodynamics_basic_coefficients.md,2761,92ada6d3a9afe269e4ee4f2dd0e0449957d798f48e454b565fb8e2083582e90c
docs/phase_0_001/microtask_014_propulsion_rocket_nozzle_basics.md,4412,2b91f046adb28b6395b54b1a09c2e561bfa514ecbf5b5dc8dc077350b2d1a215
docs/phase_0_001/microtask_015_heat_transfer.md,4672,09f5298c37d5467bd89c96ac78382a6cfbe08455975fe44c7ecb96752c98a93b
docs/phase_0_001/microtask_016_structures_beam_buckling.md,4668,d81ac24fed0b152371fd4d859c8cddef0e2aa1866e890ce564f650c0339f3911
