schema_version	batch_id	formula_id	package	crate_name	runtime_symbol	output_variable	contract_path	validation_card_path	source_seed_path	validation_status	test_strategy	test_expression
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.bioregenerative.closure_fraction	aero-codex-life-support	aero_codex_life_support	closure_fraction	closure_fraction	formula-vault/contracts/life_support_bioregenerative_basics_contract.yaml	validation/cards/life_support_bioregenerative_mass_balance.yaml	validation/source_registry/life_support_bioregenerative_mass_balance.yaml	research_required	tolerance	matches!(aero_codex_life_support::closure_fraction(3.0, 4.0), Ok(value) if (value.value - 0.75).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.bioregenerative.required_production_area	aero-codex-life-support	aero_codex_life_support	required_production_area	required_area	formula-vault/contracts/life_support_bioregenerative_basics_contract.yaml	validation/cards/life_support_bioregenerative_mass_balance.yaml	validation/source_registry/life_support_bioregenerative_mass_balance.yaml	research_required	tolerance	matches!(aero_codex_life_support::required_production_area(10.0, 2.0), Ok(value) if (value - 5.0).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.bioregenerative.buffer_residence_time	aero-codex-life-support	aero_codex_life_support	buffer_residence_time	residence_time	formula-vault/contracts/life_support_bioregenerative_basics_contract.yaml	validation/cards/life_support_bioregenerative_mass_balance.yaml	validation/source_registry/life_support_bioregenerative_mass_balance.yaml	research_required	tolerance	matches!(aero_codex_life_support::buffer_residence_time(10.0, 2.0), Ok(value) if (value - 5.0).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.bioregenerative.crew_daily_requirement	aero-codex-life-support	aero_codex_life_support	crew_daily_requirement	crew_daily_requirement	formula-vault/contracts/life_support_bioregenerative_basics_contract.yaml	validation/cards/life_support_bioregenerative_mass_balance.yaml	validation/source_registry/life_support_bioregenerative_mass_balance.yaml	research_required	tolerance	matches!(aero_codex_life_support::crew_daily_requirement(4, 2.5), Ok(value) if (value - 10.0).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.bioregenerative.net_daily_balance	aero-codex-life-support	aero_codex_life_support	net_daily_balance	net_daily_balance	formula-vault/contracts/life_support_bioregenerative_basics_contract.yaml	validation/cards/life_support_bioregenerative_mass_balance.yaml	validation/source_registry/life_support_bioregenerative_mass_balance.yaml	research_required	exact	matches!(aero_codex_life_support::net_daily_balance(5.0, 3.0), Ok(value) if value == 2.0)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.bioregenerative.oxygen_balance	aero-codex-life-support	aero_codex_life_support	oxygen_balance	oxygen_daily_balance	formula-vault/contracts/life_support_bioregenerative_basics_contract.yaml	validation/cards/life_support_bioregenerative_mass_balance.yaml	validation/source_registry/life_support_bioregenerative_mass_balance.yaml	research_required	exact	matches!(aero_codex_life_support::oxygen_balance(5.0, 3.0), Ok(value) if value == 2.0)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.bioregenerative.carbon_dioxide_balance	aero-codex-life-support	aero_codex_life_support	carbon_dioxide_balance	carbon_dioxide_daily_balance	formula-vault/contracts/life_support_bioregenerative_basics_contract.yaml	validation/cards/life_support_bioregenerative_mass_balance.yaml	validation/source_registry/life_support_bioregenerative_mass_balance.yaml	research_required	exact	matches!(aero_codex_life_support::carbon_dioxide_balance(3.0, 5.0), Ok(value) if value == 2.0)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.bioregenerative.water_recovery_balance	aero-codex-life-support	aero_codex_life_support	water_recovery_balance	water_recovery_fraction	formula-vault/contracts/life_support_bioregenerative_basics_contract.yaml	validation/cards/life_support_bioregenerative_mass_balance.yaml	validation/source_registry/life_support_bioregenerative_mass_balance.yaml	research_required	tolerance	matches!(aero_codex_life_support::water_recovery_balance(3.0, 4.0), Ok(value) if (value.value - 0.75).abs() <= 1.0e-15)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.thinfilm.generic_compartment.derivative	aero-codex-life-support	aero_codex_life_support	brlss_backbone::generic_compartment_derivative	compartment_derivative	formula-vault/contracts/life_support_brlss_backbone_foundation_contract.yaml	validation/cards/life_support_thinfilm_brlss_backbone.yaml	validation/source_registry/life_support_thinfilm_blss_report_2026.yaml	research_required	tolerance	matches!(aero_codex_life_support::brlss_backbone::generic_compartment_derivative(&[10.0, 2.0], &[3.0], 5.0, &[2.0, -1.0], &[0.5, 0.2], -0.1, 0.4), Ok(value) if (value.value - 13.3).abs() <= 1.0e-12)
aerocodex.equation_batch.v1	a8-life-support-biosim-foundation	formula_vault.life_support.thinfilm.generic_compartment.stoichiometric_state_derivative	aero-codex-life-support	aero_codex_life_support	brlss_backbone::stoichiometric_state_derivative	state_derivative_vector	formula-vault/contracts/life_support_brlss_backbone_foundation_contract.yaml	validation/cards/life_support_thinfilm_brlss_backbone.yaml	validation/source_registry/life_support_thinfilm_blss_report_2026.yaml	research_required	exact	matches!(aero_codex_life_support::brlss_backbone::stoichiometric_state_derivative(&[vec![1.0, 0.0], vec![0.0, 1.0]], &[2.0, 3.0], &[1.0, 1.0], &[0.0, 0.0], &[0.0, 0.0]), Ok(value) if value.value == vec![3.0, 4.0])
